id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1720,mysql,1,10,100000,1000000,183.37,a81d770,545.35,18.34,2022-03-28 10:44:37
1721,mongodb,0,5,100000,1000000,13.19,a81d770,7581.5,0.66,2022-03-28 10:45:01
1722,mysql,0,5,100000,1000000,341.49,a81d770,292.83,17.07,2022-03-28 10:50:47
1723,postgres,1,1000,100000,1000000,9.78,a81d770,10224.95,97.8,2022-03-28 10:52:34
1724,mongodb,0,10,100000,1000000,7.05,a81d770,14184.4,0.71,2022-03-28 10:52:52
1725,mysql,1,2000,100000,1000000,19.89,a81d770,5027.65,397.8,2022-03-28 10:53:31
1726,mongodb,1,200,100000,1000000,2.92,a81d770,34246.58,5.84,2022-03-28 10:53:55
1727,postgres,0,100,100000,1000000,8.94,a81d770,11185.68,8.94,2022-03-28 10:55:19
1728,mysql,0,50,100000,1000000,125.57,a81d770,796.37,62.79,2022-03-28 10:57:29
1729,postgres,0,5,100000,1000000,87.69,a81d770,1140.38,4.38,2022-03-28 11:00:17
1730,postgres,0,1500,100000,1000000,7.3,a81d770,13698.63,110.61,2022-03-28 11:01:39
1731,mysql,1,10,100000,1000000,183.0,a81d770,546.45,18.3,2022-03-28 11:05:02
1732,postgres,1,25,100000,1000000,200.88,a81d770,497.81,50.22,2022-03-28 11:10:01
1733,postgres,0,500,100000,1000000,7.53,a81d770,13280.21,37.65,2022-03-28 11:11:24
1734,mysql,0,2,100000,1000000,761.72,a81d770,131.28,15.23,2022-03-28 11:24:11
1735,mysql,1,5,100000,1000000,351.34,a81d770,284.62,17.57,2022-03-28 11:30:22
1736,postgres,1,5,100000,1000000,89.29,a81d770,1119.95,4.46,2022-03-28 11:33:29
1737,mongodb,0,50,100000,1000000,2.56,a81d770,39062.5,1.28,2022-03-28 11:33:45
1738,mongodb,0,2,100000,1000000,30.98,a81d770,3227.89,0.62,2022-03-28 11:34:26
1739,mongodb,1,1000,100000,1000000,2.21,a81d770,45248.87,22.1,2022-03-28 11:34:50
1740,mongodb,0,5,100000,1000000,13.07,a81d770,7651.11,0.65,2022-03-28 11:35:13
1741,mysql,1,50,100000,1000000,127.01,a81d770,787.34,63.51,2022-03-28 11:37:40
1742,postgres,1,2,100000,1000000,215.58,a81d770,463.86,4.31,2022-03-28 11:42:54
1743,postgres,1,200,100000,1000000,10.06,a81d770,9940.36,20.12,2022-03-28 11:44:42
